title,dates,start,end,span,description,people,doctype,publisher,keywords,locations,filetype,item-id,source,type,format,rights,language,link,cdmid
"Lake Fork, Idaho Folder",1/1/1935 - 1/5/2017,1/1/1935,1/5/2017,1935-2017,"9 pages of subject files containing and related to Lake Fork, Idaho",,Personal Account; Written History,,Granges; Finnish Settlers; Lake Fork Mercantile; Lake Fork Service Station; Lake Fork Grocery; Lake Fork Assembly of God Church; Holman&apos;s Lake Fork Merc;,"Lakefork, ID;",Subject Files,Lake_Fork_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/642,642
Lakeview Village Folder,8/10/1988 - 8/10/1988,8/10/1988,8/10/1988,1988-1988,1 pages of subject files containing and related to Lakeview Village,William Harrah;,,,Cabins; Stanharrah Corp.;,Ponderosa Park; Payette Lake;,Subject Files,Lakeview_Village,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/643,643
Landslides Folder,3/17/1997 - 3/17/1997,3/17/1997,3/17/1997,1997-1997,4 pages of subject files containing and related to Landslides,Mary Lou Holton;,,Idaho Statesman;,Roads; Highways; Lower Banks; Payette River Canyon; Trail&apos;s End restaurant; clear-cuts; roads; fire,"Lower Banks, ID;",Subject Files,Landslides,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/644,644
"Lardo, Idaho Folder",1/1/1978 - 2/26/1998,1/1/1978,2/26/1998,1978-1998,"10 pages of subject files containing and related to Lardo, Idaho",,Personal Account; Written History;,,Boydstun; Post Offices; Lardo Camp; Boydstun General Store; Lardo school; Rowland Street,"Payette Lake; Payette River; Lardo, ID; McCall, ID;",Subject Files,Lardo_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/645,645
"Jerusalem, Idaho Folder",1/1/1963 - 1/1/1963,1/1/1963,1/1/1963,1963-1963,"2 pages of subject files containing and related to Jerusalem, Idaho",,Written History;,,Payette River History; Orchards; Native Americans; Jerusalem; Indian Camp; Horseshoe Bend History,"Payette River; Horseshoe Bend, ID;",Subject Files,Jerusalem_Idaho,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/646,646
Laura Moore Cunningham Foundation Folder,8/12/1993 - 8/12/1993,8/12/1993,8/12/1993,1993-1993,2 pages of subject files containing and related to Laura Moore Cunningham Foundation,"Colburn, Gordon; foundation; Moore, Christopher W.; Moore Cunningham, Laura;",,The Star-News;,Grants;,Long Valley;,Subject Files,Laura_Moore_Cunningham_Foundation,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/647,647
Lewis and Clark Folder,11/1/1993 - 6/5/2006,11/1/1993,6/5/2006,1993-2006,197 pages of subject files containing and related to Lewis and Clark,Merriweather Lewis; William Clark; sacajawea,Magaine Articles; Program; Brochure; Comic Book;,,Exploration; Reinactments; Trail Guide; Lemhi Tribe; Nez Perce Tribe; Dog Gone West; Shoshone; Mandan Tribe; Hidatsa Tribe; Louisiana Purchase; Oto Tribe; Clarkston; Lolo Trail;,"Arrow, ID; Idaho Falls, ID;",Subject Files,Lewis_and_Clark,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/648,648
Light Horse Battalion Militia Folder,7/7/2016 - 7/7/2016,7/7/2016,7/7/2016,2016-2016,2 pages of subject files containing and related to Light Horse Battalion Militia,,,The Star-News;,Militias; 85th Light Horse Battalion;,Valley County;,Subject Files,Light_Horse_Battalion_Militia,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/649,649
Lions Club Folder,12/22/1986 - 6/27/2013,12/22/1986,6/27/2013,1986-2013,2 pages of subject files containing and related to Lions Club,,,The Star-News;,Service Club; Eye Care; Glasses; Exchange Students; Lions Club of McCall; Leo Club; Book Drive,"McCall, ID;",Subject Files,Lions_Club,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/650,650
Jug Mountain Folder,5/15/1997 - 8/18/2016,5/15/1997,8/18/2016,1997-2016,31 pages of subject files containing and related to Jug Mountain,D. John Carey;,,The Star-News;,Ranch; Development; Cross-Country Ski Trails; Biathalon Course; Golf Course; Jug Mountain Ranch; Jug Mountain Ranch Golf Results; 45 Fat Bike Relay Race;,"McCall, ID;",Subject Files,Jug_Mountain,McCall Public Library,text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/651,651
